observed,predicted_unbounded,predicted_bounded
10.0,10.069131534404221,8.713741459809745
9.0,9.479493435530532,8.65911135923664
10.0,10.127630033338086,8.718891703673622
9.0,10.095766720770474,8.716092134815302
9.0,10.130618421751855,8.71915357371791
10.0,9.885096506266207,8.697233443597993
9.0,10.378710091619345,8.740488227676552
9.5,9.5957450925863,8.670293454419163
9.0,9.438560433974374,8.655123006079801
9.0,10.060620118387622,8.712988268781055
9.0,9.549334255856166,8.665854703485316
10.0,8.905586412496556,8.600589956685493
9.0,8.630454959807931,8.570373704362503
8.0,7.607226742275004,8.442851892904448
9.2,10.413385833295745,8.743407954419087
10.2,9.698791944036003,8.680030522441305
14.2,9.163988238715135,8.627652193162241
10.5,9.22348622108932,8.6337136724799
5.3,8.114361099128903,8.509317399303823
10.6,9.595531011863542,8.670273056424488
6.6,8.43598256630872,8.548072596459967
6.0,7.379058882464953,8.410512139634324
10.3,9.070556356151481,8.618007616161963
7.0,9.996452165200898,8.707278144475962
10.8,9.576547156655879,8.668461419055934
8.4,7.3928230253481155,8.412509981250787
13.0,10.221084601917028,8.72702525015757
14.0,9.523211020836765,8.663341454579975
12.0,10.091238085908477,8.715693136643683
9.0,9.835062852104802,8.692663070679986
5.4,7.728498735976818,8.459395197504831
6.0,8.927559896760986,8.602939283928935
7.5,8.737927867943794,8.582356892496609
11.0,9.818519676367437,8.691143993358368
13.0,10.891983406163682,8.782247095592135
12.0,8.886012295456933,8.59848941664546
9.5,9.953353972535083,8.703411116946798
8.0,9.213739079829248,8.632724876837106
9.9,8.670869669502778,8.574907695648172
12.0,10.056126904321435,8.712590259866086
10.0,7.401061030077109,8.413702749731941
6.5,7.974105238356702,8.491627871081429
5.0,7.359833780062022,8.407711221207895
5.5,7.777393083682947,8.465944786355632
8.0,8.19771583499082,8.51959706611344
8.5,9.363512133335018,8.647739922807082
11.0,10.309813341448297,8.734642503480815
7.0,6.781849533088379,8.317317187005196
14.0,11.38500243122719,8.819639937757728
16.0,11.344686015032604,8.816674452248794
14.0,10.978504632031576,8.788992450372504
14.0,10.41814242171991,8.743807303041672
15.0,10.557984599582902,8.755424885959313
15.0,9.666500352185984,8.676996600364017
13.0,9.78860952494149,8.688387405281956
10.0,8.693854439568714,8.577471278536477
