feature,value,shap,label
B2,0.021750,-0.029332,Blue
B2,0.025730,0.021556,Blue
B2,0.025370,0.051835,Blue
B2,0.028060,-0.088169,Blue
B2,0.022780,-0.165725,Blue
B2,0.028920,-0.029892,Blue
B2,0.023650,0.015921,Blue
B2,0.023740,-0.008829,Blue
B2,0.022930,-0.116396,Blue
B2,0.023110,-0.090007,Blue
B2,0.023390,-0.048527,Blue
B2,0.021910,-0.033991,Blue
B2,0.021200,-0.011234,Blue
B2,0.024900,-0.014588,Blue
B2,0.023380,-0.005898,Blue
B2,0.026260,0.002075,Blue
B2,0.024780,0.026134,Blue
B2,0.024980,-0.174476,Blue
B2,0.025690,-0.126067,Blue
B2,0.027610,-0.167149,Blue
B2,0.025410,0.008601,Blue
B2,0.025820,-0.001980,Blue
B2,0.023210,-0.043878,Blue
B2,0.023600,-0.018355,Blue
B2,0.023980,0.019342,Blue
B2,0.026720,-0.013498,Blue
B2,0.034180,0.018451,Blue
B2,0.032790,0.042581,Blue
B2,0.030070,-0.058397,Blue
B2,0.024690,0.083260,Blue
B2,0.025740,-0.014563,Blue
B2,0.023810,0.193792,Blue
B2,0.024540,0.053831,Blue
B2,0.022920,-0.040304,Blue
B2,0.023540,0.121922,Blue
B2,0.023740,0.178017,Blue
B2,0.024670,0.141007,Blue
B2,0.025880,-0.039138,Blue
B2,0.024330,0.127251,Blue
B2,0.023410,0.007874,Blue
B2,0.024090,0.074017,Blue
B2,0.024270,0.024418,Blue
B2,0.024390,0.050754,Blue
B2,0.029980,-0.043876,Blue
B2,0.023020,0.013331,Blue
B2,0.024440,0.267289,Blue
B2,0.023350,0.134154,Blue
B2,0.023520,0.090793,Blue
B2,0.023400,0.050184,Blue
B2,0.029390,0.019181,Blue
B2,0.026560,-0.026711,Blue
B2,0.024480,0.031212,Blue
B2,0.021360,-0.028533,Blue
B2,0.026160,0.090992,Blue
B2,0.024290,0.078470,Blue
B2,0.022210,-0.181077,Blue
B2,0.023010,-0.084054,Blue
B2,0.023060,-0.001470,Blue
B2,0.022880,-0.080048,Blue
B2,0.023150,-0.008376,Blue
B2,0.023540,0.065674,Blue
B2,0.022500,-0.053105,Blue
